product_id,product_name,brand,gender,recommended_age_group,category,subcategory,occasion,style,style_mood,primary_color,secondary_color,season,fabric,fit,sleeve_type,neckline,pattern,embellishment,recommended_body_type,size_options,mrp_inr,discount_percent,final_price_inr,budget_segment,rating,rating_count,stock_qty,return_rate,popularity_score,trend_score,sustainable,bestseller,material_care,search_tags,image_url,product_description
4061,Eshine Black Chinos,Eshine,Men,Adult,Bottomwear,Chinos,College,Sporty,Elegant,Black,Green,Monsoon,Cotton,Relaxed,NA,NA,Washed,None,Curvy,"M,L,XL,XXL",1100,35,720,Low,4.0,2027,44,0.05,100,100,No,No,Dry Clean,"adult,black,bottomwear,chinos,college,cotton,men,sporty",https://example.com/images/4061.jpg,occasion-ready statement piece; ideal for college wear with a sporty aesthetic. Made in cotton with washed finish.
4068,FableFit Beige Chinos,FableFit,Men,Young Adult,Bottomwear,Chinos,Gym,Streetwear,Vintage,Beige,White,Monsoon,Denim,Relaxed,NA,NA,Solid,Embroidery,Plus Size,"S,M,L",1740,35,1130,Medium,4.9,1003,171,0.08,100,92,No,No,Machine Wash,"beige,bottomwear,chinos,denim,gym,men,streetwear,young_adult",https://example.com/images/4068.jpg,lightweight and breathable design; ideal for gym wear with a streetwear aesthetic. Made in denim with solid finish.
4069,Velora Beige Chinos,Velora,Men,Teen,Bottomwear,Chinos,College,Smart Casual,Vintage,Beige,White,Autumn,Cotton,Slim,NA,NA,Solid,Lace,Regular,"M,L,XL,XXL",1550,5,1470,Medium,4.4,1155,101,0.08,100,100,No,No,Machine Wash,"beige,bottomwear,chinos,college,cotton,men,smart_casual,teen",https://example.com/images/4069.jpg,easy-to-style seasonal pick; ideal for college wear with a smart casual aesthetic. Made in cotton with solid finish.
4072,MintMode Beige Chinos,MintMode,Men,Teen,Bottomwear,Chinos,College,Minimal,Edgy,Beige,None,All Season,Polyester,Relaxed,NA,NA,Checked,Patchwork,Slim,"28,30,32,34,36",1200,30,840,Low,3.6,1154,152,0.04,100,92,Yes,No,Hand Wash,"beige,bottomwear,chinos,college,men,minimal,polyester,teen",https://example.com/images/4072.jpg,fashion-forward look with versatile styling; ideal for college wear with a minimal aesthetic. Made in polyester with checked finish.
4087,CityDrift White Chinos,CityDrift,Men,Young Adult,Bottomwear,Chinos,Gym,Streetwear,Edgy,White,Gold,Summer,Linen,Regular,NA,NA,Solid,Embroidery,Plus Size,"28,30,32,34,36",840,20,670,Low,4.7,1679,175,0.08,100,100,Yes,No,Machine Wash,"bottomwear,chinos,gym,linen,men,streetwear,white,young_adult",https://example.com/images/4087.jpg,easy-to-style seasonal pick; ideal for gym wear with a streetwear aesthetic. Made in linen with solid finish.
4088,UrbanWeave Peach Chinos,UrbanWeave,Men,Adult,Bottomwear,Chinos,College,Minimal,Minimal,Peach,Beige,Winter,Polyester,Regular,NA,NA,Washed,None,Athletic,"M,L,XL,XXL",2290,25,1720,Medium,3.8,2014,91,0.05,100,100,No,No,Gentle Wash,"adult,bottomwear,chinos,college,men,minimal,peach,polyester",https://example.com/images/4088.jpg,comfortable fit with refined detailing; ideal for college wear with a minimal aesthetic. Made in polyester with washed finish.
4089,RootedHue Black Chinos,RootedHue,Men,Young Adult,Bottomwear,Chinos,Office,Streetwear,Playful,Black,Grey,All Season,Polyester,Regular,NA,NA,Solid,Frill,Athletic,"M,L,XL,XXL",3050,25,2290,Medium,3.9,1861,165,0.07,100,100,Yes,Yes,Hand Wash,"black,bottomwear,chinos,men,office,polyester,streetwear,young_adult",https://example.com/images/4089.jpg,premium finish with modern silhouette; ideal for office wear with a streetwear aesthetic. Made in polyester with solid finish.
4091,RootedHue Beige Chinos,RootedHue,Men,Young Adult,Bottomwear,Chinos,College,Sporty,Statement,Beige,Beige,All Season,Denim,Relaxed,NA,NA,Solid,Frill,Slim,"28,30,32,34,36",3140,25,2360,Medium,4.1,518,62,0.09,100,100,Yes,No,Gentle Wash,"beige,bottomwear,chinos,college,denim,men,sporty,young_adult",https://example.com/images/4091.jpg,elevated everyday essential; ideal for college wear with a sporty aesthetic. Made in denim with solid finish.
4094,UrbanWeave Beige Chinos,UrbanWeave,Men,Teen,Bottomwear,Chinos,College,Minimal,Classic,Beige,None,Summer,Cotton,Tapered,NA,NA,Solid,Embroidery,Curvy,"S,M,L,XL",2980,0,2980,Premium,4.5,902,149,0.13,100,100,No,No,Gentle Wash,"beige,bottomwear,chinos,college,cotton,men,minimal,teen",https://example.com/images/4094.jpg,comfortable fit with refined detailing; ideal for college wear with a minimal aesthetic. Made in cotton with solid finish.
4096,Eshine White Chinos,Eshine,Men,Young Adult,Bottomwear,Chinos,Gym,Streetwear,Contemporary,White,Grey,Winter,Cotton,Regular,NA,NA,Checked,Embroidery,Curvy,"28,30,32,34,36",1580,5,1500,Medium,3.9,2010,6,0.18,100,98,No,No,Hand Wash,"bottomwear,chinos,cotton,gym,men,streetwear,white,young_adult",https://example.com/images/4096.jpg,trend-led wardrobe staple; ideal for gym wear with a streetwear aesthetic. Made in cotton with checked finish.
4106,NovaNest Mustard Chinos,NovaNest,Men,Teen,Bottomwear,Chinos,Office,Minimal,Contemporary,Mustard,White,Winter,Cotton,Tapered,NA,NA,Checked,Frill,Athletic,"28,30,32,34,36",730,15,620,Low,4.0,2030,54,0.12,100,98,No,No,Dry Clean,"bottomwear,chinos,cotton,men,minimal,mustard,office,teen",https://example.com/images/4106.jpg,trend-led wardrobe staple; ideal for office wear with a minimal aesthetic. Made in cotton with checked finish.
4117,UrbanWeave White Chinos,UrbanWeave,Men,Teen,Bottomwear,Chinos,Gym,Streetwear,Minimal,White,Beige,Monsoon,Cotton,Regular,NA,NA,Solid,Embroidery,Athletic,"S,M,L",850,30,600,Low,4.9,578,24,0.07,100,100,No,No,Machine Wash,"bottomwear,chinos,cotton,gym,men,streetwear,teen,white",https://example.com/images/4117.jpg,lightweight and breathable design; ideal for gym wear with a streetwear aesthetic. Made in cotton with solid finish.
4120,RootedHue Mustard Chinos,RootedHue,Men,Young Adult,Bottomwear,Chinos,Gym,Sporty,Minimal,Mustard,Green,All Season,Linen,Slim,NA,NA,Solid,Embroidery,Slim,"S,M,L,XL",1290,35,840,Low,4.7,471,162,0.15,100,100,No,No,Gentle Wash,"bottomwear,chinos,gym,linen,men,mustard,sporty,young_adult",https://example.com/images/4120.jpg,elevated everyday essential; ideal for gym wear with a sporty aesthetic. Made in linen with solid finish.
4122,VivaStyle Yellow Chinos,VivaStyle,Men,Teen,Bottomwear,Chinos,Office,Sporty,Statement,Yellow,Green,Autumn,Cotton,Tapered,NA,NA,Solid,Pleats,Athletic,"S,M,L,XL",2040,5,1940,Medium,3.7,609,117,0.1,100,97,No,No,Machine Wash,"bottomwear,chinos,cotton,men,office,sporty,teen,yellow",https://example.com/images/4122.jpg,premium finish with modern silhouette; ideal for office wear with a sporty aesthetic. Made in cotton with solid finish.
4123,MintMode Navy Chinos,MintMode,Men,Teen,Bottomwear,Chinos,Casual,Minimal,Elegant,Navy,Beige,Summer,Denim,Regular,NA,NA,Solid,Embroidery,Regular,"S,M,L",1750,10,1580,Medium,4.2,1810,35,0.08,100,94,No,Yes,Machine Wash,"bottomwear,casual,chinos,denim,men,minimal,navy,teen",https://example.com/images/4123.jpg,easy-to-style seasonal pick; ideal for casual wear with a minimal aesthetic. Made in denim with solid finish.
4124,Eshine Black Chinos,Eshine,Men,Adult,Bottomwear,Chinos,Travel,Streetwear,Classic,Black,None,Autumn,Cotton,Regular,NA,NA,Checked,Embroidery,Slim,"S,M,L",1110,15,940,Low,4.1,1164,166,0.05,100,97,No,No,Hand Wash,"adult,black,bottomwear,chinos,cotton,men,streetwear,travel",https://example.com/images/4124.jpg,premium finish with modern silhouette; ideal for travel wear with a streetwear aesthetic. Made in cotton with checked finish.
4126,VivaStyle Blue Chinos,VivaStyle,Men,Teen,Bottomwear,Chinos,Office,Streetwear,Vintage,Blue,Gold,Autumn,Denim,Tapered,NA,NA,Checked,Pleats,Plus Size,"S,M,L,XL",2570,40,1540,Medium,3.8,273,62,0.11,100,100,Yes,No,Hand Wash,"blue,bottomwear,chinos,denim,men,office,streetwear,teen",https://example.com/images/4126.jpg,elevated everyday essential; ideal for office wear with a streetwear aesthetic. Made in denim with checked finish.
4129,VivaStyle Grey Chinos,VivaStyle,Men,Young Adult,Bottomwear,Chinos,Office,Smart Casual,Statement,Grey,White,Summer,Denim,Slim,NA,NA,Checked,Patchwork,Athletic,"S,M,L,XL",2830,5,2690,Premium,4.3,1552,143,0.11,100,91,Yes,Yes,Gentle Wash,"bottomwear,chinos,denim,grey,men,office,smart_casual,young_adult",https://example.com/images/4129.jpg,lightweight and breathable design; ideal for office wear with a smart casual aesthetic. Made in denim with checked finish.
4137,NovaNest Brown Chinos,NovaNest,Men,Young Adult,Bottomwear,Chinos,Office,Minimal,Minimal,Brown,None,All Season,Polyester,Relaxed,NA,NA,Washed,Frill,Curvy,"S,M,L",1840,25,1380,Medium,4.3,1969,83,0.15,100,99,Yes,Yes,Dry Clean,"bottomwear,brown,chinos,men,minimal,office,polyester,young_adult",https://example.com/images/4137.jpg,fashion-forward look with versatile styling; ideal for office wear with a minimal aesthetic. Made in polyester with washed finish.
4147,NovaNest Purple Chinos,NovaNest,Men,Young Adult,Bottomwear,Chinos,Casual,Classic,Contemporary,Purple,Silver,Winter,Cotton,Relaxed,NA,NA,Checked,Pleats,Regular,"M,L,XL,XXL",2300,0,2300,Medium,4.7,482,119,0.07,100,100,No,No,Machine Wash,"bottomwear,casual,chinos,classic,cotton,men,purple,young_adult",https://example.com/images/4147.jpg,fashion-forward look with versatile styling; ideal for casual wear with a classic aesthetic. Made in cotton with checked finish.
4154,FableFit Lavender Chinos,FableFit,Men,Adult,Bottomwear,Chinos,Casual,Classic,Statement,Lavender,Pink,Autumn,Polyester,Regular,NA,NA,Washed,Sequins,Athletic,"S,M,L,XL",2340,20,1870,Medium,4.2,1354,109,0.12,100,98,Yes,No,Machine Wash,"adult,bottomwear,casual,chinos,classic,lavender,men,polyester",https://example.com/images/4154.jpg,elevated everyday essential; ideal for casual wear with a classic aesthetic. Made in polyester with washed finish.
4155,MintMode Peach Chinos,MintMode,Men,Adult,Bottomwear,Chinos,Gym,Minimal,Elegant,Peach,Grey,Monsoon,Linen,Relaxed,NA,NA,Checked,Ruffles,Curvy,"S,M,L",1480,10,1330,Medium,4.4,2089,169,0.17,100,100,No,No,Hand Wash,"adult,bottomwear,chinos,gym,linen,men,minimal,peach",https://example.com/images/4155.jpg,premium finish with modern silhouette; ideal for gym wear with a minimal aesthetic. Made in linen with checked finish.
4165,RootedHue Grey Chinos,RootedHue,Men,Adult,Bottomwear,Chinos,Casual,Sporty,Classic,Grey,Green,Summer,Cotton,Relaxed,NA,NA,Washed,Frill,Athletic,"28,30,32,34,36",2710,5,2570,Premium,4.2,436,82,0.06,100,100,No,No,Machine Wash,"adult,bottomwear,casual,chinos,cotton,grey,men,sporty",https://example.com/images/4165.jpg,premium finish with modern silhouette; ideal for casual wear with a sporty aesthetic. Made in cotton with washed finish.
4176,Velora Grey Chinos,Velora,Men,Teen,Bottomwear,Chinos,Travel,Sporty,Vintage,Grey,Silver,Autumn,Cotton,Slim,NA,NA,Washed,Embroidery,Regular,"M,L,XL,XXL",2590,5,2460,Medium,3.8,2106,128,0.14,100,95,No,No,Machine Wash,"bottomwear,chinos,cotton,grey,men,sporty,teen,travel",https://example.com/images/4176.jpg,fashion-forward look with versatile styling; ideal for travel wear with a sporty aesthetic. Made in cotton with washed finish.
4179,FableFit Peach Chinos,FableFit,Men,Teen,Bottomwear,Chinos,College,Classic,Playful,Peach,Grey,Winter,Denim,Tapered,NA,NA,Washed,Patchwork,Athletic,"S,M,L",2380,15,2020,Medium,4.5,1528,63,0.09,100,100,No,No,Dry Clean,"bottomwear,chinos,classic,college,denim,men,peach,teen",https://example.com/images/4179.jpg,comfortable fit with refined detailing; ideal for college wear with a classic aesthetic. Made in denim with washed finish.
4180,MintMode Brown Chinos,MintMode,Men,Young Adult,Bottomwear,Chinos,Casual,Sporty,Minimal,Brown,White,Autumn,Cotton,Relaxed,NA,NA,Washed,Buttons,Curvy,"28,30,32,34,36",3080,30,2160,Medium,4.6,1767,166,0.08,100,93,Yes,Yes,Dry Clean,"bottomwear,brown,casual,chinos,cotton,men,sporty,young_adult",https://example.com/images/4180.jpg,premium finish with modern silhouette; ideal for casual wear with a sporty aesthetic. Made in cotton with washed finish.
4181,CityDrift Grey Chinos,CityDrift,Men,Adult,Bottomwear,Chinos,Casual,Sporty,Minimal,Grey,Silver,Summer,Polyester,Tapered,NA,NA,Checked,Frill,Regular,"28,30,32,34,36",1550,5,1470,Medium,4.3,1730,89,0.11,100,94,Yes,Yes,Hand Wash,"adult,bottomwear,casual,chinos,grey,men,polyester,sporty",https://example.com/images/4181.jpg,premium finish with modern silhouette; ideal for casual wear with a sporty aesthetic. Made in polyester with checked finish.
4195,UrbanWeave Lavender Chinos,UrbanWeave,Men,Teen,Bottomwear,Chinos,Gym,Streetwear,Vintage,Lavender,Grey,Autumn,Cotton,Tapered,NA,NA,Solid,Frill,Regular,"M,L,XL,XXL",2700,40,1620,Medium,3.9,930,56,0.12,100,100,No,Yes,Hand Wash,"bottomwear,chinos,cotton,gym,lavender,men,streetwear,teen",https://example.com/images/4195.jpg,comfortable fit with refined detailing; ideal for gym wear with a streetwear aesthetic. Made in cotton with solid finish.
4200,UrbanWeave Teal Chinos,UrbanWeave,Men,Young Adult,Bottomwear,Chinos,Casual,Classic,Statement,Teal,Grey,All Season,Cotton,Tapered,NA,NA,Solid,Pleats,Regular,"M,L,XL,XXL",2860,10,2570,Premium,4.7,558,148,0.13,100,100,Yes,No,Machine Wash,"bottomwear,casual,chinos,classic,cotton,men,teal,young_adult",https://example.com/images/4200.jpg,occasion-ready statement piece; ideal for casual wear with a classic aesthetic. Made in cotton with solid finish.
4201,Eshine Pink Chinos,Eshine,Men,Teen,Bottomwear,Chinos,Gym,Smart Casual,Vintage,Pink,Green,Summer,Cotton,Regular,NA,NA,Washed,Patchwork,Curvy,"M,L,XL,XXL",920,10,830,Low,4.9,1462,152,0.06,100,100,No,No,Machine Wash,"bottomwear,chinos,cotton,gym,men,pink,smart_casual,teen",https://example.com/images/4201.jpg,lightweight and breathable design; ideal for gym wear with a smart casual aesthetic. Made in cotton with washed finish.
4216,LuxeLane Purple Chinos,LuxeLane,Men,Young Adult,Bottomwear,Chinos,Office,Sporty,Statement,Purple,Beige,Spring,Polyester,Relaxed,NA,NA,Washed,Buttons,Plus Size,"28,30,32,34,36",1540,20,1230,Medium,4.6,1683,179,0.06,100,100,No,No,Hand Wash,"bottomwear,chinos,men,office,polyester,purple,sporty,young_adult",https://example.com/images/4216.jpg,elevated everyday essential; ideal for office wear with a sporty aesthetic. Made in polyester with washed finish.
4217,LuxeLane Lavender Chinos,LuxeLane,Men,Adult,Bottomwear,Chinos,Travel,Smart Casual,Classic,Lavender,Green,Autumn,Polyester,Relaxed,NA,NA,Solid,Pleats,Athletic,"S,M,L",2480,30,1740,Medium,4.4,296,121,0.11,100,98,No,No,Machine Wash,"adult,bottomwear,chinos,lavender,men,polyester,smart_casual,travel",https://example.com/images/4217.jpg,elevated everyday essential; ideal for travel wear with a smart casual aesthetic. Made in polyester with solid finish.
4221,VivaStyle Grey Chinos,VivaStyle,Men,Adult,Bottomwear,Chinos,College,Streetwear,Edgy,Grey,Silver,All Season,Denim,Slim,NA,NA,Checked,Embroidery,Curvy,"M,L,XL,XXL",2680,15,2280,Medium,4.1,1676,53,0.08,100,100,No,No,Gentle Wash,"adult,bottomwear,chinos,college,denim,grey,men,streetwear",https://example.com/images/4221.jpg,occasion-ready statement piece; ideal for college wear with a streetwear aesthetic. Made in denim with checked finish.
4253,VivaStyle Turquoise Chinos,VivaStyle,Men,Teen,Bottomwear,Chinos,College,Sporty,Classic,Turquoise,Gold,All Season,Denim,Regular,NA,NA,Washed,Sequins,Plus Size,"S,M,L",1220,20,980,Low,4.3,90,71,0.12,100,93,Yes,No,Hand Wash,"bottomwear,chinos,college,denim,men,sporty,teen,turquoise",https://example.com/images/4253.jpg,comfortable fit with refined detailing; ideal for college wear with a sporty aesthetic. Made in denim with washed finish.
4254,Velora Pink Chinos,Velora,Men,Adult,Bottomwear,Chinos,Gym,Sporty,Edgy,Pink,Black,Winter,Polyester,Regular,NA,NA,Washed,Sequins,Curvy,"28,30,32,34,36",1800,0,1800,Medium,3.8,1499,167,0.11,100,98,Yes,No,Machine Wash,"adult,bottomwear,chinos,gym,men,pink,polyester,sporty",https://example.com/images/4254.jpg,elevated everyday essential; ideal for gym wear with a sporty aesthetic. Made in polyester with washed finish.
4256,UrbanWeave Red Chinos,UrbanWeave,Men,Young Adult,Bottomwear,Chinos,College,Streetwear,Minimal,Red,None,Spring,Cotton,Tapered,NA,NA,Checked,Patchwork,Curvy,"S,M,L,XL",2830,40,1700,Medium,4.6,685,42,0.12,100,100,No,No,Hand Wash,"bottomwear,chinos,college,cotton,men,red,streetwear,young_adult",https://example.com/images/4256.jpg,easy-to-style seasonal pick; ideal for college wear with a streetwear aesthetic. Made in cotton with checked finish.
4261,LuxeLane Olive Chinos,LuxeLane,Men,Adult,Bottomwear,Chinos,Gym,Sporty,Elegant,Olive,Silver,Monsoon,Linen,Slim,NA,NA,Washed,None,Curvy,"M,L,XL,XXL",910,0,910,Low,4.7,1481,129,0.13,100,90,No,No,Hand Wash,"adult,bottomwear,chinos,gym,linen,men,olive,sporty",https://example.com/images/4261.jpg,comfortable fit with refined detailing; ideal for gym wear with a sporty aesthetic. Made in linen with washed finish.
4262,CityDrift Navy Chinos,CityDrift,Men,Adult,Bottomwear,Chinos,Office,Classic,Vintage,Navy,Blue,Monsoon,Cotton,Tapered,NA,NA,Washed,Patchwork,Athletic,"M,L,XL,XXL",950,40,570,Low,4.0,1179,93,0.11,100,100,No,No,Dry Clean,"adult,bottomwear,chinos,classic,cotton,men,navy,office",https://example.com/images/4262.jpg,elevated everyday essential; ideal for office wear with a classic aesthetic. Made in cotton with washed finish.
4263,UrbanWeave Beige Chinos,UrbanWeave,Men,Teen,Bottomwear,Chinos,Casual,Smart Casual,Statement,Beige,Pink,All Season,Cotton,Slim,NA,NA,Checked,None,Athletic,"S,M,L",1560,30,1090,Medium,4.1,1343,55,0.04,100,100,No,No,Hand Wash,"beige,bottomwear,casual,chinos,cotton,men,smart_casual,teen",https://example.com/images/4263.jpg,occasion-ready statement piece; ideal for casual wear with a smart casual aesthetic. Made in cotton with checked finish.
4267,UrbanWeave Olive Chinos,UrbanWeave,Men,Teen,Bottomwear,Chinos,Office,Classic,Playful,Olive,Green,Winter,Cotton,Regular,NA,NA,Washed,Buttons,Athletic,"S,M,L,XL",2470,15,2100,Medium,4.1,2092,84,0.12,100,100,No,No,Hand Wash,"bottomwear,chinos,classic,cotton,men,office,olive,teen",https://example.com/images/4267.jpg,comfortable fit with refined detailing; ideal for office wear with a classic aesthetic. Made in cotton with washed finish.
4269,FableFit Yellow Chinos,FableFit,Men,Teen,Bottomwear,Chinos,Office,Sporty,Vintage,Yellow,None,All Season,Linen,Regular,NA,NA,Washed,Sequins,Curvy,"M,L,XL,XXL",1860,0,1860,Medium,3.8,871,137,0.13,100,99,No,No,Dry Clean,"bottomwear,chinos,linen,men,office,sporty,teen,yellow",https://example.com/images/4269.jpg,lightweight and breathable design; ideal for office wear with a sporty aesthetic. Made in linen with washed finish.
4274,Eshine Lavender Chinos,Eshine,Men,Adult,Bottomwear,Chinos,Casual,Streetwear,Statement,Lavender,Gold,Summer,Cotton,Regular,NA,NA,Checked,Patchwork,Curvy,"S,M,L,XL",1480,5,1410,Medium,4.5,358,180,0.12,100,94,No,No,Hand Wash,"adult,bottomwear,casual,chinos,cotton,lavender,men,streetwear",https://example.com/images/4274.jpg,trend-led wardrobe staple; ideal for casual wear with a streetwear aesthetic. Made in cotton with checked finish.
4277,CityDrift Olive Chinos,CityDrift,Men,Teen,Bottomwear,Chinos,Office,Streetwear,Playful,Olive,Beige,All Season,Denim,Slim,NA,NA,Washed,Pleats,Curvy,"28,30,32,34,36",2550,15,2170,Medium,3.8,1176,70,0.05,100,100,Yes,Yes,Dry Clean,"bottomwear,chinos,denim,men,office,olive,streetwear,teen",https://example.com/images/4277.jpg,premium finish with modern silhouette; ideal for office wear with a streetwear aesthetic. Made in denim with washed finish.
4280,VivaStyle Maroon Chinos,VivaStyle,Men,Teen,Bottomwear,Chinos,Casual,Smart Casual,Edgy,Maroon,None,Autumn,Denim,Regular,NA,NA,Solid,Buttons,Regular,"28,30,32,34,36",1580,40,950,Low,3.9,641,69,0.08,100,91,Yes,No,Hand Wash,"bottomwear,casual,chinos,denim,maroon,men,smart_casual,teen",https://example.com/images/4280.jpg,occasion-ready statement piece; ideal for casual wear with a smart casual aesthetic. Made in denim with solid finish.
4281,UrbanWeave Brown Chinos,UrbanWeave,Men,Teen,Bottomwear,Chinos,Office,Minimal,Statement,Brown,None,All Season,Polyester,Slim,NA,NA,Checked,Buttons,Slim,"M,L,XL,XXL",2640,35,1720,Medium,4.0,625,76,0.04,100,100,No,No,Gentle Wash,"bottomwear,brown,chinos,men,minimal,office,polyester,teen",https://example.com/images/4281.jpg,comfortable fit with refined detailing; ideal for office wear with a minimal aesthetic. Made in polyester with checked finish.
4282,LuxeLane Peach Chinos,LuxeLane,Men,Young Adult,Bottomwear,Chinos,College,Minimal,Playful,Peach,Gold,Monsoon,Denim,Slim,NA,NA,Solid,Lace,Athletic,"S,M,L,XL",3050,40,1830,Medium,5.0,1771,177,0.13,100,97,No,Yes,Dry Clean,"bottomwear,chinos,college,denim,men,minimal,peach,young_adult",https://example.com/images/4282.jpg,occasion-ready statement piece; ideal for college wear with a minimal aesthetic. Made in denim with solid finish.
4284,ThreadAura Blue Chinos,ThreadAura,Men,Young Adult,Bottomwear,Chinos,Office,Minimal,Elegant,Blue,Beige,Monsoon,Cotton,Tapered,NA,NA,Washed,Frill,Regular,"28,30,32,34,36",1630,25,1220,Medium,4.1,1817,156,0.09,100,100,Yes,Yes,Dry Clean,"blue,bottomwear,chinos,cotton,men,minimal,office,young_adult",https://example.com/images/4284.jpg,comfortable fit with refined detailing; ideal for office wear with a minimal aesthetic. Made in cotton with washed finish.
4288,ThreadAura Mustard Chinos,ThreadAura,Men,Adult,Bottomwear,Chinos,College,Smart Casual,Contemporary,Mustard,Grey,Summer,Denim,Slim,NA,NA,Solid,Patchwork,Curvy,"S,M,L,XL",2590,35,1680,Medium,4.0,1453,143,0.12,100,93,No,No,Machine Wash,"adult,bottomwear,chinos,college,denim,men,mustard,smart_casual",https://example.com/images/4288.jpg,easy-to-style seasonal pick; ideal for college wear with a smart casual aesthetic. Made in denim with solid finish.
